K,X,T,V
2.411,2.4260,121,0.1142
2.411,2.4030,120,0.092
2.411,2.4070,119,0.0938
2.411,2.3930,118,0.0875
2.411,2.4000,117,0.09
2.411,2.3880,114,0.0812
2.411,2.3620,113,0.0653
2.411,2.3150,112,0.0529
2.411,2.3130,111,0.0469
2.411,2.3080,110,0.0478
2.411,2.3000,107,0.0441
2.411,2.3180,106,0.0544
2.411,2.3300,105,0.053
2.411,2.3040,104,0.0449
2.411,2.2910,103,0.043
2.411,2.2700,100,0.0382
2.411,2.2800,99,0.0396
2.411,2.2910,98,0.0424
2.411,2.2630,97,0.0381
2.411,2.2970,96,0.0446
2.411,2.3060,93,0.048
2.411,2.3080,92,0.0451
2.411,2.2990,91,0.0438
2.411,2.3000,90,0.0439
2.411,2.3500,89,0.0611
2.411,2.3560,85,0.0554
2.411,2.3240,84,0.0485
2.411,2.3310,83,0.0461
2.411,2.3080,82,0.0396
2.411,2.3000,79,0.0347
2.411,2.2810,78,0.0327
2.411,2.2750,77,0.0302
2.411,2.2690,76,0.0296
2.411,2.2680,75,0.0288
2.411,2.2630,72,0.0272
2.411,2.2680,71,0.0255
2.411,2.2750,70,0.0257
2.411,2.2250,69,0.0193
2.411,2.2590,68,0.0213
2.411,2.2740,65,0.0238
2.411,2.2550,64,0.0224
2.411,2.2690,63,0.0239
2.411,2.2960,62,0.0295
2.411,2.3400,61,0.0413
2.411,2.3500,58,0.0459
2.411,2.3300,57,0.0382
2.411,2.2980,56,0.0303
2.411,2.2810,55,0.0284
2.411,2.2840,54,0.0285
2.411,2.2530,51,0.0233
2.411,2.2810,50,0.0298
2.411,2.3550,49,0.0424
2.411,2.3890,48,0.0523
2.411,2.3980,37,0.0555
2.411,2.3990,36,0.0478
2.411,2.3950,35,0.0404
2.411,2.4400,34,0.071
2.411,2.4660,33,0.0932
2.411,2.4640,30,0.09
2.411,2.4180,29,0.0595
2.411,2.4380,28,0.068
2.411,2.4170,27,0.0571
2.411,2.4400,26,0.0655
2.411,2.4440,23,0.0682
2.411,2.4420,22,0.0657
2.411,2.4780,21,0.0792
2.411,2.4660,20,0.0713
2.411,2.4600,19,0.063
2.411,2.4600,16,0.0632
2.411,2.4790,15,0.0757
2.411,2.4810,14,0.0796
2.411,2.4640,13,0.0626
